timestamp,target_patient_id,total_risk,rank,reason,message,notification_type
0.0,,0.9168583977748977,0,デイルームで複数の患者さんの対応が必要です。デイルームに来てください。,デイルームで複数の患者さんの対応が必要です。デイルームに来てください。,help
2.0,A,0.9141256154742897,2,Aさんは、車椅子を動かす動作に近い姿勢がある、顔を触る動作に近い姿勢がある、および車椅子付近にいるため危険度が高く評価されました。,Aさんは、車椅子を動かす動作に近い姿勢がある、顔を触る動作に近い姿勢がある、および車椅子付近にいるため危険度が高く評価されました。,notice
2.0,,0.9168583977748977,0,デイルームで複数の患者さんの対応が必要です。デイルームに来てください。,デイルームで複数の患者さんの対応が必要です。デイルームに来てください。,help
4.0,,0.9168583977748977,0,デイルームで複数の患者さんの対応が必要です。デイルームに来てください。,デイルームで複数の患者さんの対応が必要です。デイルームに来てください。,help
6.0,C,0.927852065636926,1,Cさんは、車椅子を動かす動作に近い姿勢がある、顔を触る動作に近い姿勢がある、および点滴付近にいるため危険度が高く評価されました。,Cさんは、車椅子を動かす動作に近い姿勢がある、顔を触る動作に近い姿勢がある、および点滴付近にいるため危険度が高く評価されました。,notice
6.0,,0.927852065636926,0,デイルームで複数の患者さんの対応が必要です。デイルームに来てください。,デイルームで複数の患者さんの対応が必要です。デイルームに来てください。,help
8.0,,0.9168583977748977,0,デイルームで複数の患者さんの対応が必要です。デイルームに来てください。,デイルームで複数の患者さんの対応が必要です。デイルームに来てください。,help
10.0,,0.9168583977748977,0,デイルームで複数の患者さんの対応が必要です。デイルームに来てください。,デイルームで複数の患者さんの対応が必要です。デイルームに来てください。,help
