profile_name,ahp_profile,fuzzy_profile,patient_id,mean_total_risk,max_total_risk,final_total_risk,top1_count,notice_count,help_count
ahp_中村__fuzzy_中村,中村,中村,A,0.5060411644526016,0.5071895880125532,0.5059202777620806,0,0,0
ahp_中村__fuzzy_中村,中村,中村,B,0.1997938130691656,0.2058010874442951,0.2058010874442951,0,0,0
ahp_中村__fuzzy_中村,中村,中村,C,0.5320947515873916,0.5381959542881184,0.5314525197241573,21,1,0
ahp_中村__fuzzy_百武,中村,百武,A,0.38462453114360295,0.5527913905706388,0.3669227564670729,2,1,0
ahp_中村__fuzzy_百武,中村,百武,B,0.3225156069808861,0.4788755784558845,0.3060566626150968,2,1,0
ahp_中村__fuzzy_百武,中村,百武,C,0.3922335988736535,0.5618469398058719,0.3743795629860515,17,1,0
ahp_中村__fuzzy_釜石,中村,釜石,A,0.7374009184779253,0.795654377308764,0.7312689754431002,2,1,0
ahp_中村__fuzzy_釜石,中村,釜石,B,0.5600193948978676,0.618272853728706,0.5538874518630423,0,0,0
ahp_中村__fuzzy_釜石,中村,釜石,C,0.7480285688359017,0.8062820276667403,0.7418966258010765,19,1,0
ahp_百武__fuzzy_中村,百武,中村,A,0.3921205700851412,0.3944238577563311,0.3944238577563311,0,0,0
ahp_百武__fuzzy_中村,百武,中村,B,0.18664272484608352,0.1933330823044918,0.1933330823044918,0,0,0
ahp_百武__fuzzy_中村,百武,中村,C,0.43004336906049107,0.4315369832340933,0.4315369832340933,21,0,0
ahp_百武__fuzzy_百武,百武,百武,A,0.38367322276835963,0.5629090565988657,0.3648062928914642,2,1,0
ahp_百武__fuzzy_百武,百武,百武,B,0.3202089748841398,0.4865723270156774,0.30269704308082,2,1,0
ahp_百武__fuzzy_百武,百武,百武,C,0.39474874739472526,0.5762310348241059,0.3756453487179484,17,1,0
ahp_百武__fuzzy_釜石,百武,釜石,A,0.7037030706544231,0.7681330465808509,0.6969209679253253,2,1,0
ahp_百武__fuzzy_釜石,百武,釜石,B,0.5703869732467428,0.6348169491731708,0.5636048705176452,0,0,0
ahp_百武__fuzzy_釜石,百武,釜石,C,0.718626051216815,0.7830560271432432,0.7118439484877176,19,1,0
ahp_釜石__fuzzy_中村,釜石,中村,A,0.3822924790384885,0.3848350089141023,0.3848350089141023,0,0,0
ahp_釜石__fuzzy_中村,釜石,中村,B,0.18989341029676396,0.1965918375723073,0.1965918375723073,0,0,0
ahp_釜石__fuzzy_中村,釜石,中村,C,0.416782861586391,0.418580385303239,0.418580385303239,21,0,0
ahp_釜石__fuzzy_百武,釜石,百武,A,0.37063268844750547,0.5492898484006192,0.3518266716103357,2,1,0
ahp_釜石__fuzzy_百武,釜石,百武,B,0.307620379104021,0.4733471720047921,0.2901754535355187,2,1,0
ahp_釜石__fuzzy_百武,釜石,百武,C,0.3807057603621175,0.5614299532260641,0.361682161113281,17,1,0
ahp_釜石__fuzzy_釜石,釜石,釜石,A,0.6957850819403493,0.7602445983919834,0.6889998696822824,2,1,0
ahp_釜石__fuzzy_釜石,釜石,釜石,B,0.566764793709042,0.6312243101606763,0.5599795814509754,0,0,0
ahp_釜石__fuzzy_釜石,釜石,釜石,C,0.7095098950049694,0.7739694114566037,0.7027246827469026,19,1,0
