profile_name,ahp_profile,fuzzy_profile,patient_id,mean_total_risk,max_total_risk,final_total_risk,top1_count,notice_count,help_count
ahp_山口__fuzzy_山口,山口,山口,A,0.9020667371020779,0.9204488607051106,0.9001317767228112,2,1,0
ahp_山口__fuzzy_山口,山口,山口,B,0.8136851022243938,0.8486565039591386,0.8100039020417893,0,0,0
ahp_山口__fuzzy_山口,山口,山口,C,0.9094140009658916,0.9264170393787426,0.9076242074487496,19,1,0
ahp_山口__fuzzy_百武,山口,百武,A,0.31451854603846874,0.5538336778200845,0.2893274795351409,2,1,0
ahp_山口__fuzzy_百武,山口,百武,B,0.2580562797242758,0.4807821333741796,0.234611453024286,2,1,0
ahp_山口__fuzzy_百武,山口,百武,C,0.31921231719956417,0.5599065341713617,0.2938760838341117,17,1,0
ahp_百武__fuzzy_山口,百武,山口,A,0.9116327428821672,0.9126140012678012,0.9115294525257848,0,0,0
ahp_百武__fuzzy_山口,百武,山口,B,0.8238220714882696,0.8257784077530159,0.8236161413551382,0,0,0
ahp_百武__fuzzy_山口,百武,山口,C,0.921380958799763,0.922253969867034,0.9212890628979452,21,0,0
ahp_百武__fuzzy_百武,百武,百武,A,0.33267927007433035,0.3467935694150539,0.3311935543542543,2,1,0
ahp_百武__fuzzy_百武,百武,百武,B,0.2751541236221619,0.2882933450837732,0.2737710476788345,0,0,0
ahp_百武__fuzzy_百武,百武,百武,C,0.3390653680212597,0.3532879146803464,0.3375682578466191,19,1,0
